Lineage,Earliest date
B.1.341,2020-04-25
B.1.342,2020-05-23
B.1.344,2020-03-12
B.1.346,2020-04-13
B.1.348,2020-07-06
B.1.349,2020-06-05
B.1.350,2020-03-13
B.1.350.1,2020-05-25
B.1.351,2020-09-01
B.1.351.1,2021-01-19
B.1.351.2,2020-11-03
B.1.351.3,2020-11-04
B.1.351.5,2020-12-21
B.1.343,2020-03-09
B.1.354,2020-03-12
B.1.355,2020-04-01
B.1.356,2020-02-28
B.1.357,2020-05-21
B.1.358,2020-04-01
B.1.359,2020-03-09
B.1.360,2020-03-17
B.1.361,2020-04-15
B.1.362,2020-04-03
B.1.362.1,2020-09-19
B.1.362.2,2020-09-01
B.1.363,2020-06-19
B.1.366,2020-04-27
B.1.367,2020-07-13
B.1.369,2020-03-11
B.1.369.1,2020-12-29
B.1.370,2020-03-19
B.1.371,2020-03-08
B.1.372,2020-03-30
B.1.375,2020-07-22
B.1.377,2020-04-19
B.1.378,2020-03-14
B.1.379,2020-03-16
B.1.380,2020-03-04
B.1.381,2020-04-14
B.1.382,2020-04-13
B.1.383,2020-03-01
B.1.384,2020-03-15
B.1.385,2020-06-22
B.1.387,2020-03-06
B.1.388,2020-06-10
B.1.389,2020-08-02
B.1.390,2020-03-25
B.1.391,2020-03-09
B.1.393,2020-05-29
B.1.395,2020-03-06
B.1.396,2020-04-10
B.1.397,2020-04-07
B.1.398,2020-01-10
B.1.399,2020-04-26
B.1.400,2020-04-15
B.1.400.1,2020-11-09
B.1.401,2020-06-04
B.1.402,2020-06-19
B.1.403,2020-04-07
B.1.404,2020-03-16
B.1.405,2020-04-30
B.1.406,2020-07-06
B.1.407,2020-06-09
B.1.408,2020-05-12
B.1.409,2020-07-13
B.1.411,2020-04-19
B.1.413,2020-03-12
B.1.415,2020-03-16
B.1.415.1,2020-11-30
B.1.416,2020-04-06
B.1.416.1,2020-06-28
B.1.417,2020-04-02
B.1.418,2020-04-24
B.1.420,2020-03-16
B.1.421,2020-07-15
B.1.422,2020-03-13
B.1.423,2020-07-01
B.1.424,2020-03-16
B.1.425,2020-05-07
B.1.426,2020-04-06
B.1.427,2020-04-11
B.1.428,2020-03-03
B.1.428.1,2020-04-27
B.1.428.2,2020-04-07
B.1.428.3,2020-05-22
B.1.429,2020-01-26
B.1.429.1,2020-11-28
B.1.431,2020-03-30
B.1.432,2020-04-25
B.1.433,2020-07-15
B.1.434,2020-03-22
B.1.435,2020-04-10
B.1.436,2020-07-08
B.1.437,2020-06-03
B.1.438,2020-01-10
B.1.438.1,2020-08-05
B.1.438.2,2021-01-06
B.1.438.3,2020-12-09
B.1.438.4,2020-10-19
B.1.439,2020-03-13
B.1.441,2020-03-13
B.1.442,2020-03-12
B.1.443,2020-03-18
B.1.444,2020-05-21
B.1.445,2020-04-05
B.1.446,2020-03-13
B.1.448,2020-04-15
B.1.450,2020-03-14
B.1.451,2020-04-18
B.1.452,2020-05-12
B.1.453,2020-03-17
B.1.456,2020-02-20
B.1.458,2020-05-25
B.1.459,2020-03-18
B.1.460,2020-08-20
B.1.462,2020-04-20
B.1.463,2020-09-10
B.1.465,2020-03-10
B.1.466,2020-04-30
B.1.466.1,2020-05-26
B.1.466.2,2020-08-06
AU.1,2021-01-01
AU.2,2021-01-03
AU.3,2021-02-09
B.1.467,2020-05-17
B.1.468,2020-02-13
B.1.469,2020-08-21
B.1.470,2020-04-09
B.1.471,2020-03-25
B.1.473,2020-03-08
B.1.474,2020-09-21
B.1.475,2020-04-05
B.1.476,2020-03-29
B.1.478,2020-05-12
B.1.479,2020-03-25
B.1.480,2020-07-03
B.1.482,2020-03-17
B.1.483,2020-03-15
B.1.485,2020-03-25
B.1.486,2020-04-28
B.1.487,2020-05-24
B.1.488,2020-07-13
B.1.489,2020-03-26
B.1.490,2020-04-20
B.1.491,2020-03-14
B.1.492,2020-02-02
B.1.493,2020-04-07
B.1.494,2020-03-15
B.1.495,2020-04-19
B.1.496,2020-03-15
B.1.497,2020-05-05
B.1.498,2020-04-27
B.1.499,2020-01-01
B.1.499.1,2020-08-25
B.1.500,2020-08-10
B.1.501,2020-04-27
B.1.502,2020-06-07
B.1.503,2020-04-01
B.1.504,2020-04-19
B.1.505,2020-03-15
B.1.506,2020-04-20
B.1.507,2020-03-15
B.1.508,2020-04-28
B.1.509,2020-04-18
B.1.510,2020-03-06
B.1.511,2020-05-02
B.1.513,2020-03-09
B.1.515,2020-04-17
B.1.516,2020-03-11
B.1.517,2020-03-31
B.1.517.1,2020-12-02
B.1.518,2020-03-21
B.1.520,2020-03-25
B.1.521,2020-03-21
B.1.523,2020-03-29
B.1.524,2020-05-01
B.1.525,2020-03-25
B.1.526,2020-01-28
B.1.527,2020-03-24
B.1.528,2020-04-23
B.1.529,2020-04-02
B.1.530,2020-10-01
B.1.531,2020-11-18
B.1.532,2020-07-04
B.1.533,2020-03-24
B.1.534,2020-11-02
B.1.535,2020-03-22
B.1.536,2020-10-26
B.1.537,2020-05-24
B.1.538,2020-05-16
B.1.539,2020-10-25
B.1.540,2020-03-27
B.1.541,2020-07-01
B.1.542,2020-03-24
B.1.543,2020-08-30
B.1.544,2020-03-31
B.1.545,2020-03-25
B.1.546,2020-05-23
B.1.547,2020-03-13
B.1.548,2020-05-29
B.1.549,2020-05-11
B.1.550,2020-07-31
B.1.551,2020-08-20
B.1.552,2020-03-30
B.1.554,2020-04-21
B.1.555,2020-03-11
B.1.556,2020-06-10
B.1.557,2020-04-06
B.1.558,2020-04-06
B.1.559,2020-03-29
B.1.560,2020-05-13
B.1.561,2020-06-18
B.1.562,2020-10-10
B.1.563,2020-12-06
B.1.564,2020-03-11
B.1.564.1,2020-08-23
B.1.565,2020-06-18
B.1.566,2020-03-16
B.1.567,2020-03-23
B.1.568,2020-10-05
B.1.569,2020-08-03
B.1.570,2020-05-26
B.1.571,2020-06-01
B.1.572,2020-04-02
B.1.573,2020-06-24
B.1.574,2020-06-07
B.1.575,2020-06-23
B.1.575.1,2020-11-30
B.1.575.2,2020-09-14
B.1.576,2020-03-25
B.1.577,2020-04-04
B.1.578,2020-03-13
B.1.579,2020-04-13
B.1.580,2020-07-13
B.1.581,2020-06-18
B.1.582,2020-04-11
B.1.585,2020-10-13
B.1.586,2020-03-12
B.1.587,2020-04-23
B.1.588,2020-08-02
B.1.588.1,2020-11-28
B.1.589,2020-03-15
B.1.590,2020-03-15
B.1.591,2020-08-18
B.1.592,2020-03-30
B.1.593,2020-08-27
B.1.594,2020-03-04
B.1.595,2020-03-09
B.1.595.1,2020-05-16
B.1.595.2,2020-06-14
B.1.595.3,2020-06-27
B.1.595.4,2020-04-20
B.1.596,2020-04-11
B.1.596.1,2020-08-22
B.1.597,2020-03-24
B.1.598,2020-03-30
B.1.599,2020-05-20
B.1.600,2020-04-07
B.1.601,2020-10-28
B.1.602,2020-07-07
B.1.603,2020-11-10
B.1.604,2020-07-28
B.1.605,2020-05-12
B.1.606,2020-05-21
B.1.607,2020-03-29
B.1.609,2020-03-10
B.1.610,2020-06-11
B.1.611,2020-06-09
B.1.612,2020-03-11
B.1.613,2020-04-06
B.1.614,2020-06-15
B.1.615,2020-07-26
B.1.616,2021-01-29
B.1.617,2021-02-25
B.1.617.1,2020-03-03
B.1.617.2,2021-03-01
AY.1,2021-03-31
AY.2,2021-03-31
AY.3,2020-08-01
AY.3.1,2020-11-20
AY.3.2,2021-07-23
AY.3.3,2021-05-01
AY.3.4,2021-08-05
AY.4,2020-08-03
AY.4.1,2021-06-21
AY.4.2,2021-01-01
AY.4.2.1,2020-12-21
AY.4.2.2,2021-04-12
AY.4.2.3,2021-03-15
AY.4.2.4,2021-04-28
AY.4.3,2021-06-25
AY.4.4,2021-03-09
AY.4.5,2021-01-11
AY.4.6,2021-01-27
AY.4.7,2021-03-07
AY.4.8,2021-05-21
AY.4.9,2021-01-15
AY.4.10,2021-06-05
AY.4.11,2021-06-17
AY.4.12,2021-07-26
AY.4.13,
AY.4.14,
AY.4.15,
AY.4.16,
AY.4.17,
AY.5,2020-11-15
AY.5.1,2021-06-03
AY.5.2,2021-05-31
AY.5.3,2021-02-11
AY.5.4,2021-03-29
AY.5.5,2021-06-02
AY.5.6,
AY.6,2021-03-16
AY.7,2021-05-01
AY.7.1,2021-02-09
AY.7.2,2021-05-30
AY.8,2021-04-20
AY.9,2021-01-20
AY.9.2,2021-01-07
AY.9.2.1,2021-07-27
AY.9.2.2,2021-08-18
AY.10,2021-03-12
AY.11,2021-04-03
AY.13,2020-03-31
AY.14,2021-02-10
AY.15,2021-04-13
AY.16,2021-01-07
AY.16.1,2021-04-10
AY.17,2021-04-14
AY.18,2021-05-11
AY.19,2021-03-21
AY.20,2021-01-14
AY.20.1,2021-08-20
AY.21,2021-05-26
AY.22,2021-05-28
AY.23,2020-03-12
AY.23.1,2021-01-11
AY.23.2,2021-01-09
AY.24,2020-07-29
AY.24.1,2021-06-28
AY.25,2020-07-21
AY.25.1,2020-08-01
AY.25.1.1,2021-07-26
AY.25.1.2,
AY.25.2,2021-07-20
AY.25.3,2021-01-01
AY.26,2020-12-07
AY.26.1,2021-06-25
AY.27,2021-04-09
AY.28,2021-04-09
AY.29,2021-01-26
AY.29.1,2021-07-02
AY.30,2021-04-06
AY.31,2021-06-30
AY.32,2021-04-16
AY.33,2021-01-11
AY.33.1,2021-05-04
AY.34,2020-11-18
AY.34.1,2020-04-01
AY.34.1.1,2021-06-20
AY.34.2,2021-07-13
AY.35,2021-01-11
AY.36,2020-09-16
AY.37,2021-02-18
AY.38,2021-03-16
AY.39,2020-11-06
AY.39.1,2021-01-06
AY.39.1.1,2021-02-09
AY.39.1.2,2021-06-25
AY.39.1.3,2021-07-11
AY.39.2,2021-07-06
AY.39.3,
AY.40,2021-02-19
AY.41,2020-10-20
AY.42,2020-11-03
AY.42.1,2021-07-12
AY.43,2020-10-26
AY.43.1,2021-06-04
AY.43.2,2021-07-04
AY.43.3,2021-01-02
AY.43.4,2021-01-02
AY.43.5,2021-10-22
AY.43.6,2021-08-31
AY.43.7,2021-09-17
AY.43.8,
AY.43.9,
AY.44,2020-09-09
AY.45,2020-08-21
AY.46,2021-01-09
AY.46.1,2021-05-18
AY.46.2,2021-03-09
AY.46.3,2021-07-01
AY.46.4,2021-05-22
AY.46.5,2021-02-06
AY.46.6,2021-01-09
AY.46.6.1,2021-10-17
AY.47,2020-12-21
AY.48,2021-02-04
AY.49,2021-04-10
AY.50,2021-02-04
AY.51,2020-12-11
AY.52,2021-05-18
AY.53,2021-03-09
AY.54,2021-02-09
AY.55,2021-01-29
AY.56,2021-04-18
AY.57,2021-04-16
AY.58,2021-03-16
AY.59,2021-01-10
AY.60,2021-03-26
AY.61,2021-01-07
AY.62,2021-04-21
AY.63,2021-06-10
AY.64,2021-05-06
AY.65,2021-02-09
AY.66,2021-01-07
AY.67,2021-04-04
AY.68,2021-02-11
AY.69,2021-05-15
AY.70,2021-01-07
AY.71,2021-03-09
AY.72,2021-04-15
AY.73,2021-04-01
AY.74,2021-04-24
AY.75,2021-01-06
AY.75.2,2021-04-05
AY.75.3,2021-05-17
AY.76,2021-03-09
AY.77,2021-03-31
AY.78,2021-03-06
AY.79,2021-01-12
AY.80,2021-05-01
AY.81,2021-04-10
AY.82,2020-08-25
AY.83,2021-04-13
AY.84,2021-04-09
AY.85,2021-01-09
AY.86,2021-02-06
AY.87,2021-03-09
AY.88,2021-04-12
AY.90,2021-05-02
AY.91,2021-03-09
AY.91.1,2021-06-07
AY.92,2021-04-10
AY.93,2021-04-10
AY.94,2021-03-16
AY.95,2021-01-07
AY.98,2021-01-07
AY.98.1,2020-11-04
AY.99,2021-04-16
AY.99.1,2021-03-23
AY.99.2,2021-01-27
AY.100,2020-08-31
AY.101,2021-02-19
AY.102,2021-01-09
AY.102.1,2021-07-08
AY.102.2,2021-07-12
AY.103,2020-10-06
AY.103.1,2021-07-27
AY.103.2,2021-07-09
AY.104,2021-06-10
AY.105,2021-04-11
AY.106,2021-02-09
AY.107,2021-02-05
AY.108,2021-06-01
AY.109,2021-03-16
AY.110,2021-04-14
AY.111,2021-02-05
AY.112,2020-12-05
AY.112.1,2021-07-18
AY.113,2020-12-16
AY.114,2021-04-10
AY.116,2021-01-21
AY.116.1,2021-06-07
AY.117,2021-01-11
AY.118,2021-02-09
AY.119,2020-10-29
AY.119.1,2021-09-16
AY.119.2,2021-01-11
AY.120,2021-02-04
AY.120.1,2020-12-27
AY.120.2,2021-04-26
AY.120.2.1,2021-06-06
AY.121,2021-01-24
AY.121.1,2021-01-02
AY.122,2020-09-07
AY.122.1,2021-01-11
AY.122.2,2021-06-22
AY.122.3,2021-08-23
AY.122.4,2021-05-19
AY.122.5,
AY.123,2021-03-06
AY.123.1,2021-01-12
AY.124,2021-01-09
AY.124.1,2021-06-21
AY.124.1.1,
AY.125,2021-01-08
AY.125.1,2021-09-07
AY.126,2020-11-24
AY.127,2020-12-10
AY.127.1,2021-09-04
AY.127.2,
AY.128,2021-05-11
AY.129,2021-01-08
AY.130,
AY.131,2021-03-16
AY.132,2021-01-19
AY.133,2021-02-18
B.1.617.3,2021-01-03
B.1.618,2020-10-25
B.1.619,2020-03-10
B.1.619.1,2021-02-22
B.1.620,2020-04-05
B.1.621,2020-10-14
B.1.621.1,2021-04-09
B.1.621.2,2021-04-08
B.1.622,2020-09-16
B.1.623,2020-07-08
B.1.625,2020-11-16
B.1.626,2021-02-15
B.1.627,2020-06-09
B.1.629,2020-07-18
B.1.630,2021-01-19
B.1.631,2020-12-16
B.1.632,2021-04-19
B.1.633,2021-03-17
B.1.634,2021-01-06
B.1.635,2020-07-25
B.1.636,2020-12-16
B.1.637,2020-04-16
B.1.637.1,2021-09-21
B.1.638,2021-05-24
B.1.639,2021-01-19
B.1.640,
B.1.640.1,2021-01-01
B.1.640.2,2021-10-15
B.1.9,2020-03-04
B.1.9.1,2020-03-31
B.1.9.2,2020-04-20
B.1.9.3,2020-03-17
B.1.9.4,2020-07-09
B.1.9.5,2020-03-14
B.3,2020-02-23
B.3.1,2020-01-21
B.4,2020-01-18
B.4.1,2020-03-22
B.4.2,2020-02-25
B.4.4,2020-03-10
B.4.5,2020-03-09
B.4.6,2020-02-25
B.4.7,2020-03-14
B.4.8,2020-05-17
B.5,2020-02-05
B.6,2020-02-14
B.6.1,2020-03-11
B.6.2,2020-05-23
B.6.3,2020-03-10
B.6.4,2020-04-18
B.6.5,2020-03-19
B.6.6,2020-03-10
B.6.8,2020-07-13
B.10,2020-03-12
B.11,2020-02-27
B.12,2020-01-20
B.13,2020-04-03
B.15,2020-03-11
B.18,2020-03-16
B.19,2020-03-29
B.20,2020-03-31
B.23,2020-02-28
B.26,2020-03-17
B.27,2020-03-03
B.28,2020-03-06
B.29,2020-02-27
B.30,2020-03-09
B.31,2020-03-03
B.32,2020-03-13
B.33,2020-01-29
B.34,2020-03-13
B.35,2020-03-05
B.36,2020-03-13
B.37,2020-03-12
B.38,2020-03-07
B.39,2020-02-25
B.40,2020-02-09
B.41,2020-02-06
B.42,2020-01-29
B.43,2020-01-26
B.44,2020-03-17
B.45,2020-03-13
B.46,2020-03-18
B.47,2020-03-06
B.49,2020-03-09
B.50,2020-03-14
B.51,2020-03-18
B.52,2020-03-12
B.53,2020-02-07
B.55,2020-01-29
B.56,2020-03-14
B.57,2020-03-02
B.58,2020-03-04
B.60,2020-03-04
B.61,2020-02-09
XA,2020-12-16
XB,2020-07-08
XC,2021-08-12
A.2.1,
A.8,
A.10,
A.13,
A.14,
A.20,
B.1.1.2,
B.1.1.6,
B.1.1.20,
B.1.1.32,
B.1.1.35,
B.1.1.36,
B.1.1.60,
B.1.1.64,
B.1.1.65,
B.1.1.66,
B.1.1.73,
B.1.1.76,
B.1.1.78,
B.1.1.79,
B.1.1.80,
B.1.1.81,
B.1.1.85,
B.1.1.94,
B.1.1.96,
B.1.1.102,
B.1.1.103,
B.1.1.104,
B.1.1.105,
B.1.1.106,
B.1.1.108,
B.1.1.124,
B.1.1.126,
B.1.1.131,
B.1.1.140,
B.1.1.143,
B.1.1.146,
B.1.1.150,
B.1.1.151,
B.1.1.156,
B.1.1.167,
B.1.1.173,
B.1.1.179,
B.1.1.183,
B.1.1.195,
B.1.1.199,
B.1.1.206,
B.1.1.211,
B.1.1.212,
B.1.1.215,
B.1.1.223,
B.1.1.233,
B.1.1.235,
B.1.1.238,
B.1.1.245,
B.1.1.246,
B.1.1.247,
B.1.1.248,
B.1.1.250,
B.1.1.252,
B.1.1.259,
B.1.1.260,
B.1.1.264,
B.1.1.276,
B.1.1.278,
B.1.1.281,
B.1.1.287,
B.1.1.292,
B.1.1.293,
B.1.1.295,
B.1.1.313,
B.1.1.314,
B.1.1.439,
B.1.1.527,
BA.1.11,
B.1.3.1,
B.1.3.2,
B.1.3.3,
B.1.3.4,
B.1.5,
B.1.5.2,
B.1.5.5,
B.1.5.6,
B.1.5.11,
B.1.5.12,
B.1.5.13,
B.1.5.15,
B.1.5.17,
B.1.5.16,
B.1.5.18,
B.1.5.19,
B.1.5.21,
B.1.5.25,
B.1.5.26,
B.1.5.27,
B.1.5.28,
B.1.5.29,
B.1.5.30,
B.1.5.31,
B.1.5.32,
B.1.5.33,
B.1.5.34,
B.1.5.35,
B.1.5.36,
B.1.8.2,
B.1.9.6,
B.1.11,
B.1.19,
B.1.21,
B.1.25,
B.1.26,
B.1.34,
B.1.36.3,
B.1.36.4,
B.1.36.5,
B.1.36.6,
B.1.36.11,
B.1.36.13,
B.1.36.14,
B.1.36.15,
B.1.36.17.1,
B.1.74,
B.1.75,
B.1.79,
B.1.80,
B.1.82,
B.1.88,
B.1.89,
B.1.90,
B.1.95,
B.1.98,
B.1.102,
B.1.107,
B.1.109,
B.1.114,
B.1.133,
B.1.135,
B.1.136,
B.1.138,
B.1.141,
B.1.144,
B.1.150,
B.1.152,
B.1.154,
B.1.156,
B.1.160.1,
B.1.160.2,
B.1.160.3,
B.1.160.4,
B.1.160.5,
B.1.160.6,
B.1.177.1,
B.1.177.13,
B.1.177.22,
B.1.177.79,
B.1.183,
B.1.185,
B.1.186,
B.1.191,
B.1.193,
B.1.196,
B.1.197,
B.1.200,
B.1.202,
B.1.204,
B.1.207,
B.1.209,
B.1.216,
B.1.217,
B.1.226,
B.1.228,
B.1.230,
B.1.244,
B.1.246,
B.1.253,
B.1.255,
B.1.257,
B.1.258.1,
B.1.258.8,
B.1.258.13,
B.1.259,
B.1.261,
B.1.262,
B.1.266,
B.1.269,
B.1.271,
B.1.272,
B.1.275,
B.1.278,
B.1.283,
B.1.286,
B.1.288,
B.1.290,
B.1.295,
B.1.296,
B.1.297,
