Lineage,Earliest date
B.1.1.142,2020-03-03
B.1.1.144,2020-08-10
B.1.1.145,2020-03-31
B.1.1.147,2020-06-04
B.1.1.148,2020-04-12
B.1.1.149,2020-05-01
B.1.1.152,2020-06-27
B.1.1.153,2020-08-06
B.1.1.154,2020-03-30
B.1.1.155,2020-06-02
B.1.1.157,2020-05-20
B.1.1.158,2020-06-01
B.1.1.159,2020-08-15
B.1.1.160,2020-05-03
B.1.1.161,2020-03-04
B.1.1.162,2020-03-21
B.1.1.163,2020-04-01
B.1.1.164,2020-03-16
B.1.1.165,2020-08-28
B.1.1.166,2020-03-15
B.1.1.168,2020-03-31
B.1.1.169,2020-05-04
B.1.1.170,2020-07-19
B.1.1.171,2020-03-20
B.1.1.172,2020-04-06
B.1.1.174,2020-03-18
B.1.1.175,2020-04-29
B.1.1.176,2020-03-12
B.1.1.177,2020-06-04
B.1.1.178,2020-04-02
B.1.1.180,2020-03-23
B.1.1.181,2020-03-22
B.1.1.182,2020-09-09
B.1.1.184,2020-04-03
B.1.1.185,2020-03-31
B.1.1.186,2020-05-12
B.1.1.187,2020-06-24
B.1.1.189,2020-04-11
B.1.1.190,2020-03-17
B.1.1.191,2020-03-20
B.1.1.192,2020-03-21
B.1.1.193,2020-09-30
B.1.1.194,2020-03-13
B.1.1.196,2020-08-26
B.1.1.197,2020-04-09
B.1.1.198,2020-03-09
B.1.1.200,2020-03-28
AN.1,2020-07-07
B.1.1.201,2020-04-29
B.1.1.202,2020-04-17
B.1.1.203,2020-05-20
B.1.1.204,2020-03-07
B.1.1.205,2020-05-16
B.1.1.207,2020-06-28
B.1.1.208,2020-03-22
B.1.1.209,2020-05-06
B.1.1.210,2020-03-21
B.1.1.213,2020-03-20
B.1.1.214,2020-02-22
B.1.1.216,2020-05-06
AM.1,2020-11-09
AM.2,2020-11-10
AM.3,2020-10-30
AM.4,2020-11-05
B.1.1.217,2020-04-26
S.1,2020-06-07
B.1.1.218,2020-05-11
B.1.1.219,2020-08-01
B.1.1.220,2020-03-23
B.1.1.221,2020-03-29
B.1.1.222,2020-04-04
B.1.1.224,2020-08-31
B.1.1.225,2020-06-16
B.1.1.226,2020-04-21
B.1.1.227,2020-06-13
B.1.1.231,2020-03-13
AL.1,2020-09-18
B.1.1.232,2020-03-28
AK.1,2020-08-07
AK.2,2020-09-19
B.1.1.234,2020-07-20
B.1.1.236,2020-09-01
B.1.1.237,2020-05-15
B.1.1.239,2020-06-22
B.1.1.241,2020-04-29
AH.1,2020-10-20
AH.2,2020-08-18
AH.3,2020-10-23
B.1.1.240,2020-08-27
AJ.1,2020-11-08
B.1.1.242,2020-07-21
B.1.1.243,2020-04-24
B.1.1.244,2020-04-07
B.1.1.249,2020-03-26
B.1.1.251,2020-06-02
B.1.1.253,2020-05-09
B.1.1.254,2020-03-14
B.1.1.255,2020-05-21
B.1.1.256,2020-04-30
B.1.1.258,2020-04-17
B.1.1.261,2020-03-31
B.1.1.257,2020-03-02
B.1.1.262,2020-04-28
B.1.1.263,2020-04-03
B.1.1.265,2020-04-11
B.1.1.266,2020-05-23
B.1.1.267,2020-03-24
B.1.1.268,2020-05-31
B.1.1.269,2020-05-19
B.1.1.270,2020-03-21
B.1.1.271,2020-03-11
B.1.1.272,2020-08-17
B.1.1.273,2020-04-02
B.1.1.274,2020-04-03
B.1.1.275,2020-03-19
