sample_id,frequency_X,frequency_Y,lineage_X,lineage_Y,country,time,X_series,frequency_X+Y
hCoV-19/Denmark/DCGC-416530/2022,0.000213304,0.284563384,BA.3.1,BA.2.9,Denmark,2022-02-04_2022-03-06,Others,0.284776688
hCoV-19/Germany/BW-RKI-I-701035/2022,0.279100098,0.00039351,BA.1.1,BA.2.23,Germany,2022-02-20_2022-03-22,Others,0.279493608
hCoV-19/Israel/ICH-741235029/2022,0.132026144,0.137777778,BF.5,BA.2,Israel,2022-05-25_2022-06-24,Others,0.269803922
hCoV-19/USA/TX-HMH-M-98590/2022,0.008269234,0.259676393,BA.5.5,BA.2,USA,2022-04-26_2022-05-26,Others,0.267945627
hCoV-19/Switzerland/BS-UHB-42540495/2020,0.171173763,0.092059839,B.1.160,B.1.1.39,Switzerland,2020-10-17_2020-11-16,Others,0.263233602
hCoV-19/Denmark/DCGC-523462/2022,0.000170406,0.258960523,BA.5,BA.2.9,Denmark,2022-04-22_2022-05-22,Others,0.259130929
hCoV-19/India/GJ-INSACOG-GBRC5448/2022,0.25811626,0.000488196,BA.1.1,BA.2.3.16,India,2021-12-12_2022-01-11,Others,0.258604457
hCoV-19/Indonesia/AC-NIHRD-22-35115/2022,0.001076137,0.254506322,BA.2.75.5,BA.5.2,Indonesia,2022-10-09_2022-11-08,Others,0.255582459
hCoV-19/Netherlands/NB-MVD-CWGS2201564/2022,0.253713368,0.000133815,BA.1.1,BA.2.23,Netherlands,2022-02-21_2022-03-23,XM,0.253847183
hCoV-19/Bangladesh/icddrb-TND-05-1045/2022,0.111111111,0.138888889,BJ.1,BM.1.1.1,Bangladesh,2022-08-21_2022-09-20,XBB.1,0.25
hCoV-19/Austria/CeMM4828/2020,0.166666667,0.083333333,B.1.160,B.1.258.17,Austria,2020-11-19_2020-12-19,Others,0.25
hCoV-19/Germany/NW-RKI-I-953064/2022,0.000739758,0.248609765,BA.5,BA.2.9,Germany,2022-04-30_2022-05-30,Others,0.249349523
hCoV-19/England/LSPA-2FBEEB7/2021,0.247372476,2.06E-05,BA.1.1,AY.116,United Kingdom,2021-11-21_2021-12-21,Others,0.247393111
hCoV-19/India/MH-RFIP08199/2022,0.244715677,0.000161662,BA.1.1,BA.2.3.16,India,2021-12-06_2022-01-05,Others,0.244877339
hCoV-19/Germany/TH-RKI-I-1044891/2021,0.144422879,0.098527229,B.1.1.7,B.1.177.86,Germany,2021-01-04_2021-02-03,Others,0.242950108
hCoV-19/Japan/PG-133737/2021,0.037260995,0.202905854,AY.29.1,B.1.1.7,Japan,2021-07-13_2021-08-12,XC,0.240166849
hCoV-19/Germany/SH-RKI-I-1025391/2022,0.003260648,0.233666191,CM.2,BA.5.2,Germany,2022-10-04_2022-11-03,XBJ,0.236926839
hCoV-19/USA/TX-USAFSAM-S1414/2021,0.162523458,0.069654565,B.1.429,B.1.1.7,USA,2021-01-23_2021-02-22,Others,0.232178023
